"","id","Horvath","Hannum","Levine","BNN","skinHorvath","PedBE","Wu","TL","BLUP","EN"
"1","O1_failed_to_transiently_reprogram_15days_exp1",59.1746607681153,6.42039380236241,35.1439186170527,NA,39.6510672270184,10.4802091932801,6.86638975843873,5.59669452882104,48.8959685156586,50.0475337782035
"2","O1_negative_control_15days_exp1",65.9157986193293,6.4523212955365,45.6454206874758,NA,40.1962108397008,10.5979883088548,5.71333243490566,5.77787883627543,50.2048808874585,54.3949322288072
"3","O2_failed_to_transiently_reprogram_15days_exp1",72.732396847363,12.7939998705409,53.7186145709654,NA,46.4813506716716,11.5827412938878,5.76070159912627,5.59322841917789,57.6230694624001,57.5093388943698
"4","O2_negative_control_15days_exp1",65.5953920607338,10.6225261629553,47.6933375747517,NA,42.9931473953087,13.0832465122175,6.15187810304329,5.63329340430899,56.0749443260633,57.5060798237585
"5","O3_transiently_reprogrammed_15days_exp1",52.2159709957469,1.2711530350701,36.2649144665117,NA,17.5578314722424,9.70225872012697,5.20556125804587,5.14553262127259,56.8598238169272,36.4817571869327
"6","O3_failed_to_transiently_reprogram_15days_exp1",58.0405115615798,4.3139990634418,29.3061038268667,NA,19.9724846540289,10.0948750142275,6.68029949979788,6.21093817057844,48.3917147918232,40.2857615149299
"7","O3_negative_control_15days_exp1",60.8773676552265,6.6146068570137,28.313479711231,NA,27.9062240642428,8.57128627778482,5.25005121754506,5.80297836110162,50.5575233730198,44.2962597458135
"8","O1_transiently_reprogrammed_17days_exp1",56.3897115933257,-13.3224403856542,11.2867708078308,NA,8.73026915709021,5.87881233949403,1.19780487342483,5.7803699739481,46.4345515265483,24.8358043473927
"9","O1_failed_to_transiently_reprogram_13days_exp1",53.7145543770989,4.6159035306301,40.0301838814521,NA,40.7182507767684,10.4643540294135,6.56203604778677,5.52484925516335,49.9935829369254,51.6542426265834
"10","O1_negative_control_13days_exp1",64.171163039305,5.8210488376656,42.8189405047139,NA,39.2456393049521,11.5437406861753,4.97025417496563,5.74772896623816,51.1015502725331,52.6390828621762
"11","O2_transiently_reprogrammed_13days_exp1",32.8405870027799,30.1313424060019,51.6666785885984,NA,28.2836932717086,4.64588137615653,5.16229744052947,5.37897738808532,56.335525935449,54.1485173961298
"12","O2_failed_to_transiently_reprogram_13days_exp1",64.8512705648531,7.7878424575707,44.2503173378353,NA,46.224018234441,12.2866549941587,4.56373874463639,5.56927168314109,54.6892595897127,55.5697267860544
"13","O2_negative_control_13days_exp1",69.9372626461185,10.9616162379403,50.1689937201235,NA,45.4937823710769,12.2748780668625,5.16523783806314,5.54233404275067,56.8384878444508,58.3366352550414
"14","O3_transiently_reprogrammed_13days_exp1",23.5422374677115,1.0986457968489,37.0608860843954,NA,26.1068808713447,4.36375596070684,6.86667574280131,5.63954563044527,46.9234978932226,51.6560268307581
"15","O3_failed_to_transiently_reprogram_13days_exp1",55.5247433310314,5.1530206365612,30.2804107681416,NA,35.1799624035223,8.61179265770942,5.34113502655237,5.71312192524394,50.2675036921121,43.6871388084897
"16","O3_negative_control_13days_exp1",56.0134669982899,6.7584031274538,24.5014644525051,NA,31.2176431626332,8.77860256665039,5.75938433510514,5.80521645653474,50.5111624940789,44.6178279886669
"17","O1_failed_to_transiently_reprogram_17days_exp1",51.7472516678018,8.7459384927366,43.7219392440263,NA,41.5787609333993,11.7177836843398,7.16879446842533,5.62552286694434,47.3601061482292,52.5004439038053
"18","O1_negative_control_17days_exp1",62.5604580846293,10.3531148252103,41.2353773839772,NA,44.5014395179478,11.4412538030749,5.38014938382383,5.66907426506078,50.9056331252624,52.8755316364784
"19","O2_transiently_reprogrammed_17days_exp1",78.2564387690168,4.6607363019393,30.8168986947277,NA,49.2768209993049,7.85553326679526,6.85549095332628,5.43806553300113,46.7809294464254,53.3639130210811
"20","O2_failed_to_transiently_reprogram_17days_exp1",58.7075489127023,2.8607096334114,54.7389529814453,NA,46.9896947037007,11.273284419197,5.58687176076953,5.80885269298964,54.1085057913154,49.6575800302663
"21","O2_negative_control_17days_exp1",70.0693976564267,9.1288881139285,35.7437518212465,NA,44.8352353905407,12.046987753768,4.66654416078399,5.81363834992451,56.4005708534505,55.1179306366192
"22","O3_transiently_reprogrammed_17days_exp1",66.3924433183055,20.4664151811388,51.8200278801966,NA,56.5176303262249,22.4341120225385,2.17428656169542,5.3931243204229,47.2324660756584,52.446871147281
"23","O3_failed_to_transiently_reprogram_17days_exp1",61.2702628978661,7.524873695467,30.2673611823783,NA,24.9325146046297,10.703442785371,5.56189115530782,5.95516852162676,48.2871282644153,42.4767975358582
"24","O3_negative_control_17days_exp1",57.7302217698915,1.095273051956,30.0097082098766,NA,29.6808557078016,9.61607472006939,3.61113166368046,6.0000792637737,46.2816921888303,43.2555411037261
"25","O1_failed_to_transiently_reprogram_17days_exp2",54.911045112273,5.141012855986,37.9824511731694,NA,38.5794813089976,7.58446272103166,2.77723260383551,6.10765665214108,46.357167430882,43.2860056808634
"26","O1_negative_control_17days_exp2",60.2131683239839,8.8267301056411,27.2204275090264,NA,40.4490058414457,9.98647765685697,5.11063562279604,5.84199115562759,49.5772762732631,51.977711677793
"27","O2_failed_to_transiently_reprogram_17days_exp2",58.5701685271105,9.0655792721237,34.4846988407589,NA,46.3527223282052,10.8544222679523,7.33207806054201,5.67722994026273,50.6765279502856,51.4072562558918
"28","O2_negative_control_17days_exp2",67.7730973431605,10.643165084637,34.5900241234314,NA,48.7955527345855,11.1316440326271,6.54070001638992,5.69411876911067,54.4410067988002,57.44129405037
